polymer,shutdown_temp_C,safety,Tg (K),Tm (K),Td (K),Tensile Strength (MPa),Young's Modulus (MPa),Elongation at Break (%)
PP,170,safe,278.7240379,436.3634085,668.9719355,31.5591236,1360.85935,136.0394578
PE,135,unsafe,248.2219178,400.0474597,665.4068182,27.1232,1482.481308,233.4104082
UHMWPE,135,unsafe,178.8318182,409.4121805,722.9833333,65.15350515,15163.35526,219.1094444
HDPE,130,unsafe,202.7506667,405.1815522,712.0138596,27.52424837,974.9630435,437.716081
LDPE,110,unsafe,217.925,384.3300429,686.2020513,12.68314607,195.8447458,372.1413043
PVDF,160,safe,246.0995283,440.2074189,692.2809524,12.60990876,836.2191619,70.28669903
PTFE,327,safe,377.3797561,600.6318537,725.480303,25.5038,1089.694545,138.5804762
PAN,300,safe,370.3696914,572.2063768,576.34125,106.1541732,6110.394533,25.15680851
PPS,300,safe,363.146875,554.2961538,685.280303,43.38166667,1815.8,10.1225
PEI,280,safe,486.8207143,391.1267742,655.3469388,64.99917808,1130.0712,20.77294118
PES,220,safe,485.5032864,382.4709639,684.5137255,24.04446154,1261.16,40.86571429
PSF,185,safe,459.4236691,449.97,772.065,5.670192308,702.0315,36.88857143
PET,250,safe,350.7739286,523.4178857,647.7791837,61.5532243,2711.531016,101.9562745
PA6,220,safe,327.7122059,491.7688492,693.1585106,65.73653509,1643.498022,95.32325581
PC,230,safe,418.6883465,478.9862338,713.6141791,51.26665854,1991.271091,47.11032258
POM,175,safe,219.3038462,441.821875,583.962,57.05666667,7362.941176,46.11666667
nylon,220,safe,345.4926667,494.575,653.9572,94.68387097,2445.3,78.16166667
PVA,230,safe,347.3882594,482.3814257,560.1714583,29.51726462,1028.982777,156.9150872
PMMA,105,unsafe,380.6654347,425.5315534,596.0484058,48.88666667,2229.584071,57.56869565
PAA,200,safe,384.5403125,409.1152381,592.948,11.68805172,389.0870556,382.21875
PVP,60,unsafe,420.3787449,428.7617391,659.1060714,7.737777778,256.230625,27.47
PEG,60,unsafe,264.2440244,328.9288032,609.6155844,8.705703125,17.82309728,107.6797727
PEO,65,unsafe,227.0281712,335.1621175,584.3322785,5.376923077,169.8333158,141.3910345
PLA,160,safe,331.8098359,434.1262519,614.5552932,51.35984829,2089.630879,19.99913616
PBS,115,unsafe,243.1226797,386.8413011,634.0678571,34.79211268,547.6591837,190.5156716
PCL,60,unsafe,214.9123703,332.2899748,627.9720588,11.0172007,153.205055,387.82
cellulose,260,safe,376.5375,387.7575,574.5608247,77.67211534,51216.99916,45.47636364
chitosan,200,safe,408.7521429,399.7452083,561.2761511,30.98912057,350.3948276,25.17533333
PS,100,unsafe,370.8178093,419.6389583,657.1369916,26.48273282,1578.346265,28.4137037
PVC,100,unsafe,348.831328,422.4248,554.9093976,24.71402609,612.8673684,217.5994667
PMP,235,safe,327.7441177,488.68125,605.65,13.62,1979.666667,417.0
polypropylene,170,safe,273.27375,434.6538961,577.6092593,35.94686207,1635.936953,49.83948718
polyethylene,135,unsafe,237.3696721,402.3904933,606.3833333,39.42796591,9997.559434,359.7359459
polyimide,350,safe,553.9155118,564.9071429,743.3183871,102.5479518,2454.84443,10.62222892
polycarbonate,230,safe,409.8923729,496.25,547.93125,55.6032,2285.065854,20.375
polystyrene,100,unsafe,371.1314305,511.4295918,627.6646939,31.997,2040.786932,37.61571429
poly(vinylidene fluoride),160,safe,237.5136364,437.96,540.15,25.80857143,7282.5,39.0
polyacrylonitrile,300,safe,371.9433333,574.6252941,461.4833333,608.6909375,49269.13043,70.8
polysulfone,185,safe,461.2732877,523.15,658.3038462,43.77,5184.212286,20.66666667
