name,description,pdf_url,category
Celgard® 2400,,https://www.celgard.com/storage/components/2400_com_data_2026-01.pdf,Monolayer PP
Celgard® 2500,,https://www.celgard.com/storage/components/2500_com_data_2026-01.pdf,Monolayer PP
Celgard® PP1410,14µm Monolayer Microporous Membrane (PP),https://www.celgard.com/storage/components/pp1410_com_data_2026-01.pdf,Monolayer PP
Celgard® PP1611,16µm Monolayer Microporous Membrane (PP),https://www.celgard.com/storage/components/pp1611_com_data_2026-01.pdf,Monolayer PP
Celgard® PP2068,,https://www.celgard.com/storage/components/pp2068_com_data_2026-01.pdf,Monolayer PP
Celgard® PP2075,20µm Monolayer Microporous Membrane (PP),https://www.celgard.com/storage/components/pp2075_com_data_2026-01.pdf,Monolayer PP
Celgard® Z1831,18µm Monolayer Microporous Membrane (PP),https://www.celgard.com/storage/components/z1831_com_data_2026-03.pdf,Monolayer PP
Celgard® 2318,,https://www.celgard.com/storage/components/2318_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® 2320,,https://www.celgard.com/storage/components/2320_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® 2325,,https://www.celgard.com/storage/components/2325_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® 2340,39µm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/2340_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H1409,14µm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/h1409_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H1609,,https://www.celgard.com/storage/components/h1609_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H1612,,https://www.celgard.com/storage/components/h1612_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H2010,,https://www.celgard.com/storage/components/h2010_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H2013,20µm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/h2013_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® H2512,25µm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/h2512_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® S1608,16μm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/s1608_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® S1810,18µm Trilayer Microporous Membrane (PP/PE/PP),https://www.celgard.com/storage/components/s1810_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® S2010,,https://www.celgard.com/storage/components/s2010_com_data_2026-01.pdf,Trilayer PP/PE/PP
Celgard® Q18G1SY,18μm Total Thickness One Side Ceramic Coated Microporous Trilayer Membrane (PP/PE/PP),https://www.celgard.com/storage/components/q18g1sy_com_data_2026-01.pdf,Ceramic Coated
Celgard® 3400,"25μm Monolayer Microporous Membrane (PP), Surfactant Coated",https://www.celgard.com/storage/components/3400_com_data_2026-01.pdf,Surfactant Coated
Celgard® 3401,"25µm Monolayer Microporous Membrane (PP), Surfactant Coated",https://www.celgard.com/storage/components/3401_com_data_2026-01.pdf,Surfactant Coated
Celgard® 3407,"28μm Monolayer Microporous Membrane (PP), Surfactant Coated",https://www.celgard.com/storage/components/3407_com_data_2026-01.pdf,Surfactant Coated
Celgard® 3500,"25µm Monolayer Microporous Membrane (PP), Surfactant Coated",https://www.celgard.com/storage/components/3500_com_data_2026-01.pdf,Surfactant Coated
Celgard® 3501,"25µm Monolayer Microporous Membrane (PP), Surfactant Coated",https://www.celgard.com/storage/components/3501_com_data_2026-01.pdf,Surfactant Coated
Celgard® QT17P2HX,,https://www.celgard.com/storage/components/qt17p2hx_com_data_2026-01.pdf,Super Thin Adhesive Coated
Celgard® 4560,"25µm Monolayer Microporous Membrane (PP), Laminated to a PP Nonwoven Fabric",https://www.celgard.com/storage/components/4560_com_data_2026-01.pdf,Laminated to Nonwoven
Celgard® 3419S & Celgard® 3420,"25µm Monolayer Microporous Membrane (PP) and 220 µm Monolayer Nonwoven Separator (PP), Surfactant Coated Hydrophilic Membranes",https://www.celgard.com/storage/components/3419s_3420_com_data_2026-01.pdf,Laminated to Nonwoven & Surfactant Coated
Celgard® 5550,"25µm Monolayer Microporous Membrane (PP), Laminated to a PP Nonwoven Fabric, Surfactant Coated",https://www.celgard.com/storage/components/5550_com_data_2026-01.pdf,Laminated to Nonwoven & Surfactant Coated
