Materials,Blends,Electrolyte Solution,Porosity and Uptake (%),Conductivity (S·cm−1) and Capacity (mAh·g−1),Main Goal/Achievement,Ref
PVDF,HDPE,1 M LiPF6 in EC/DEC/DMC (1:1:1),58/260,2.54 × 10−3 S·cm−1 (25 °C)/156.1 mAhg−1(0.1C),Production of a sponge-like PVDF/HDPE film;High ionic conductivity and cycling performance.,[121]
PVDF,HTPB-g-MPEG,1 M LiPF6 in EC/DMC/EMC (1:1:1),56/350,3.1 × 10−3/116 (C),Enhancement of the stability of entrapped liquid electrolyte and corresponding ion conductivity.,[122]
PVDF,MC,"1 M LiPF6 in EC/DEM/EMC (1:1:1, w:w:w)",-/138.6,1.5 × 10−3/110 (C),PVDF composite separator with cellulose material;Excellent electrochemical performance.,[123]
PVDF,MEP,1 M TEABF4 in AN/PC and 1 M LiPF6 in EC/DEC,77/-,1.3 × 10−2/-,"Manufacturing by phase inversion, with MEP as a cross-linking agent;Good mechanical strength.",[34]
PVDF,NCC,1 M LiFAP in EC/DMC (1:1),-/-,-/-,Separators with applications in hybrid electric vehicles;Favorable performance at high-voltage cells.,[124]
PVDF,NCC,1 M LiPF6 in EC/DMC (1:1),-/-,-/108 (1C),Separators with applications in hybrid electric vehicles;Influence on high-rate cell operation.,[125]
PVDF,PAN,1 M LiPF6 in EC/DMC/DEC (1:1:1),77.7/414.5,2.9 × 10−3 (25 °C)/-,Improved thermal and mechanical properties; High cycling stability.,[126]
PVDF,PAN,1 M LiPF6 in EC/DMC/EMC (1:1:1),-/320,1.45 × 10−3/145.71 (0.2C),Production of an electrospun blended membrane;High thermal and mechanical stability.,[127]
PVDF,PBA,1 M LiPF6 in EC/DEC/DMC (1:1:1),-/120,8.1 × 10−4 (25 °C)/95 (0.1C),Preparation of cross-linked PBA/PVDF GPE; Good cycling stability.,[128]
PVDF,PDMS-g-(PPO-PEO),"1 M LiPF6 in EC/DMC/EMC (1:1:1, w:w:w)",80.1/512,4.5 × 10−3/120 (1C),Porous separator;Good electrochemical stability.,[129]
PVDF,PEGDA,1 M LiPF6 in EC/DMC (1:1),-/-,3.3 × 10−3/117 (0.1C),Separator produced by thermal polymerization;High capacity retention.,[130]
PVDF,PEO,1 M LiPF6 in EC/DMC (1:1),/530,-/-,Production of blended membranes by electrospinning; improved conductivity and uptake.,[131]
PVDF,PEO,1 M LiPF6 in EC/DMC (1:1),-/527,-/-,"Development of electrospun membranes;High electrolyte uptake, low shutdown temperature.",[132]
PVDF,PET,-,80/270,-/-,Synthesis of a hybrid separator;High wettability and electrolyte uptake.,[133]
PVDF,PI,1 M LiPF6 in EC/PC/DEC/VC (35.4:17.2:45.1:2.3),-/-,1.3 × 10−3/141,Preparation of the separator by electrospinning;Improved thermal stability and mechanical properties.,[134]
PVDF,PMMA/CA,"1 M LiPF6 in EC/DMC (1:1, w:w)",99.1/323,-/-,Elevated porosity and electrolyte uptake.,[135]
PVDF,P(MMA-co-PEGMA),"1 M LiPF6 in EC/EMC/DMC (1:1:1, w:w:w)",-/372,3.01 × 10−3/-,Porous separator;Improved capacity retention.,[136]
PVDF,PMMA/SiO2,-,80.1/293.2,1.97 × 10−3/-,Evaluation of the effect of a PMMA and SiO2 blend on a PVDF electrospun membrane as a separator;High electrolyte uptake and improved ionic conductivity.,[137]
PVDF,PVP,1 M Et4N-BF4/PC,-/360,1.8 × 10−3 (25 °C)/-,Separators for supercapacitors;High uptake and power density.,[138]
PVDF,TAIC,1 M TEABF4 in AN/PC and 1 M LiPF6 in EC/DEC,75/-,1.4 × 10−2/-,"Manufacturing of separator by phase inversion, with TAIC as cross-linking agent.High ionic conductivity.",[34]
PVDF-TrFE,PEO,1 M LiTFSI in PC,44.5/107,5.4 × 10−4/124 (C/5),Research on the physical and chemical properties of a PVDF-TrFE/PEO blendFavorable cycling performance.,[139]
PVDF-HFP,CA,"1 M LiPF6 in EC/DMC/EMC (1:1:1, v:v:v)",66.36/355,6.16 × 10−3/138 (0.2C),"Investigation of the use of CA from waste cigarette filters, in PVDF-HFP membranes;Good electrochemical performance and excellent thermal stability.",[140]
PVDF-HFP,HDPE,-,71/300,2.97 × 10−3 (25 °C)/140.5 (C),Preparation of the separator by non-solvent-induced phase separation;High ionic conductivity.,[141]
PVDF-HFP,PANI,1 M LiPF6 in EC/DMC (1:1),83/270,1.96 × 10−3/-,"High thermal stability, electrolyte uptake, and ionic conductivity",[142]
PVDF-HFP,PEG/PEGDMA,"1 M LiClO4 in EC/DEC (1:1, v:v)",71/212,1.70 × 10−3/-,Investigation into a strengthened electrospun nanofiber membrane separator;High porosity and electrolyte uptake.,[143]
PVDF-HFP,PLTB,"1 M LiPF6 in EC/DMC (1:1, v:v)",70/260,1.78 × 10−3/138 (0.5C),Excellent electrochemical performance.,[144]
PVDF-HFP,PSx-PEO3,"1 M LiTFSI in EC/DMC (1:1, w:w)",-/520,4.2 × 10−4 (20 °C)/123 (C),"Production of a safe PVDF-HFP blended membrane, which can be sprayed;Elevated electrolyte uptake.",[145]
PVDF-HFP,PVSK,1 M LiTFSI + 0.25 M LiNO3 in DME/DOL (1:1),27/-,-/1220,Improved cycling performance.,[146]
PVDF-HFP,PVC,1 M LiPF6 in EC/DMC (1:2),62/230,1.58 × 10−3/125 (0.1 C),Tri-layer polymer membrane;Good mechanical and thermal stability.,[44]
PEI/PVDF,x-PEGDA,1 M LiPF6 in EC/DMC/EMC (1:1:1),64.6/235.6,1.38 × 10−3 (25 °C)/160.3 (0.2C),"Production of x-PEGDA-coated PEI/PVDF membranes; high wettability, porosity, and ionic conductivity.",[147]
